product,token,pubKey,decimals
LFNTY-USDC,LFNTY,3T9zHCguVtKfgzaUvdBne4V8LReeiAMAzmRbWwt69gwJ,6
LFNTY-USDC,USDC,F3fuSs91bGysoZFgNDbGrPonEtCBaGRDMpHGMwfgxzsP,6
UXD-USDC,USDC,BbwCGgAHEUfu7PUEz8hR877aK2snseqorfLbvtcVbjhj,6
UXD-USDC,UXD,5BUkh9e3JF9yUvSw6P3HHqkdMuujRG942hYNSkAEghFs,6
SRM-USDC,USDC,DTmnsxurn7cFSqPMERogJDMKR5NbFjhrJTtFPJbgkW7e,6
SRM-USDC,SRM,2qAG2xw2sroQZfRUu5RhvneFm35p9NEtcpJizoFYMn2w,6
GMT-USDC,GMT,GPRqn4JjW85dX1qBF3tkdDkPbAzgBC42pYoRFpaxFm8M,9
GMT-USDC,USDC,5jZv8zgxGZtV8zjQUujkeC5bce4WgJVgTYcZKqRQzfKr,6
RAY-USDC,USDC,8HAVXU7bdS2SEkkrqFBdWPFxFTrWxtu4GTjP46BDzdTc,6
RAY-USDC,RAY,BhG9r4CkTBRtpLtxA8Hd72vCkikqyVhiq8pFunZNERV8,6
ETH-USDC,USDC,FDCjDSbFCVRVBsWkJWfgZ9x3Dizm1MJjtzYw3R2fxXRv,6
ETH-USDC,ETH,BRFwAToCofwzP29jVGzb6VZ4AGpw867AE5VsXfMsmEGk,8
BTC-USDC,USDC,3ReY1xscSAEV9Qg1NshkU4KRWQs33nu5JMg8AnoU7duG,6
BTC-USDC,BTC,FAFShq3gZYXWtk5EkeKPKcwSkz2rjfMDuD1i7KiYwjVM,6
SOL-UST,UST,3eM8HhW5XQeEmshqSvNSmrPmYuBKZpPXVVfzvqgYvJAv,6
SOL-UST,SOL,AgiA6x7T6vR2J8ZPeBGizWruwhP6HBbpoW3Hg5jh2f2b,9
stSOL-USDC,USDC,AjVCdqSFNzxYnyaKEHF3YHM7yBTkwVZynekJDBtXJ4Z,6
stSOL-USDC,stSOL,8596RX9J4fXHKLQKrF9MCB8buq1jydhpUGjCSzgjnmbt,9
SOL-PAI,PAI,FGS1xT4neZEpA14DqFH9r5tHbK8d12BmNCA7sMQVrVdv,6
SOL-PAI,SOL,DQoV2vnbZ2jpmMQaYWWZraJuqXTWeqCoHBCmmkymi4C1,9
SOL-UXD,UXD,4JciXWsVimE9tqnmgQ8AjZqYZwiF6fx6zCxWf9PCrZ2n,6
SOL-UXD,SOL,4byV1TrowZopVezaBLL5cMbAaU3TZ5BQdtitHFWDBfuE,9
SOL-USDT,USDT,7Cct2MJUwruQef5vQrP2bxYCNyVajJ3SiC1GYUmwmjUm,6
SOL-USDT,SOL,5pH2DBMZg7y5bN4J3oLKRETGXyVYPJpeaCH6AkdAcxqp,9
SOL-USDC,USDC,32SjGNjesiCZgmZb4YxAGgjnym6jAvTWbqihR4CvvXkZ,6
SOL-USDC,SOL,2uySTNgvGT2kwqpfgLiSgeBLR3wQyye1i1A2iQWoPiFr,9
